group,text,label,position,left_context,term,right_context,query_term
Jewish,"Pendeta Hindu India ini ingin ke Israel untuk memerangi Hamas, idenya kok familiar?",0,6,india ini ingin ke,israel,untuk memerangi hamas idenya,israel
Jewish,"‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",0,21,hari ke 38 agresi,israel,ke palestina tampaknya pm,israel
Jewish,"‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",0,26,ke palestina tampaknya pm,israel,benyamin netanyahu tak berniat,israel
Jewish,"‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",0,62,dunia sepakat untuk menyerukan,israel,melakukan gencatan senjata merespon,israel
Jewish,"‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",0,84,campur dia mengatakan pasukan,israel,akan terus melanjutkan pertempuran,israel
Jewish,"‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",0,116,konferensi pers bersama menhan,israel,yoav gallant dan pemimpin,israel
Jewish,"‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",0,153,inilahviral viral perdanamenteri pm,israel,benjaminnetanyahu netanyahu palestine palestina,israel
Jewish,"CNBC INDONESIA McDonald's 5 Cabang McDonald's Dunia yang Bantah Sokong Tentara Israel Sejumlah cabang restoran cepat saji McDonald's di beberapa negara memberikan klarifikasi terkait kiriman makanan dan dukungan terhadap Israel.

Melansir dari Hindustan Times, McDonald's cabang Lebanon, Oman, Uni Emirat Arab (UAE), Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak terlibat dalam pengiriman makanan untuk Israel Defense Forces (IDF) atau Pasukan Pertahanan Israel.

""McDonald's Lebanon menegaskan bahwa pemegang waralaba (franchise) di negara dan wilayah lain tidak mewakili pandangan atau posisi McDonald's Lebanon dengan cara apa pun,"" tulis McDonald's Lebanon dalam pernyataannya, dikutip Rabu (18/10/2023).

""McDonald's Lebanon tidak terlibat apa pun dalam tindakan yang diambil di pasar lain di luar Lebanon. Kami berkomitmen untuk bangsa kita dan rakyatnya dengan penuh rasa hormat dan solidaritas,"" lanjut pernyataan tersebut.

Sementara itu, McDonald's cabang Oman, UAE, Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak ikut campur dalam pemberian makanan kepada IDF dan berada di pihak dukungan kepada Palestina.

Melalui pernyataan resmi, McDonald's Oman menuturkan bahwa pihaknya telah menyumbangkan US$100 ribu atau sekitar Rp1,57 miliar (asumsi kurs Rp15.742/US$) sebagai bantuan kepada masyarakat Gaza, Palestina.

#palestina",0,13,yang bantah sokong tentara,israel,sejumlah cabang restoran cepat,israel
Jewish,"CNBC INDONESIA McDonald's 5 Cabang McDonald's Dunia yang Bantah Sokong Tentara Israel Sejumlah cabang restoran cepat saji McDonald's di beberapa negara memberikan klarifikasi terkait kiriman makanan dan dukungan terhadap Israel.

Melansir dari Hindustan Times, McDonald's cabang Lebanon, Oman, Uni Emirat Arab (UAE), Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak terlibat dalam pengiriman makanan untuk Israel Defense Forces (IDF) atau Pasukan Pertahanan Israel.

""McDonald's Lebanon menegaskan bahwa pemegang waralaba (franchise) di negara dan wilayah lain tidak mewakili pandangan atau posisi McDonald's Lebanon dengan cara apa pun,"" tulis McDonald's Lebanon dalam pernyataannya, dikutip Rabu (18/10/2023).

""McDonald's Lebanon tidak terlibat apa pun dalam tindakan yang diambil di pasar lain di luar Lebanon. Kami berkomitmen untuk bangsa kita dan rakyatnya dengan penuh rasa hormat dan solidaritas,"" lanjut pernyataan tersebut.

Sementara itu, McDonald's cabang Oman, UAE, Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak ikut campur dalam pemberian makanan kepada IDF dan berada di pihak dukungan kepada Palestina.

Melalui pernyataan resmi, McDonald's Oman menuturkan bahwa pihaknya telah menyumbangkan US$100 ribu atau sekitar Rp1,57 miliar (asumsi kurs Rp15.742/US$) sebagai bantuan kepada masyarakat Gaza, Palestina.

#palestina",0,32,makanan dan dukungan terhadap,israel,melansir dari hindustan times,israel
Jewish,"CNBC INDONESIA McDonald's 5 Cabang McDonald's Dunia yang Bantah Sokong Tentara Israel Sejumlah cabang restoran cepat saji McDonald's di beberapa negara memberikan klarifikasi terkait kiriman makanan dan dukungan terhadap Israel.

Melansir dari Hindustan Times, McDonald's cabang Lebanon, Oman, Uni Emirat Arab (UAE), Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak terlibat dalam pengiriman makanan untuk Israel Defense Forces (IDF) atau Pasukan Pertahanan Israel.

""McDonald's Lebanon menegaskan bahwa pemegang waralaba (franchise) di negara dan wilayah lain tidak mewakili pandangan atau posisi McDonald's Lebanon dengan cara apa pun,"" tulis McDonald's Lebanon dalam pernyataannya, dikutip Rabu (18/10/2023).

""McDonald's Lebanon tidak terlibat apa pun dalam tindakan yang diambil di pasar lain di luar Lebanon. Kami berkomitmen untuk bangsa kita dan rakyatnya dengan penuh rasa hormat dan solidaritas,"" lanjut pernyataan tersebut.

Sementara itu, McDonald's cabang Oman, UAE, Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak ikut campur dalam pemberian makanan kepada IDF dan berada di pihak dukungan kepada Palestina.

Melalui pernyataan resmi, McDonald's Oman menuturkan bahwa pihaknya telah menyumbangkan US$100 ribu atau sekitar Rp1,57 miliar (asumsi kurs Rp15.742/US$) sebagai bantuan kepada masyarakat Gaza, Palestina.

#palestina",0,58,dalam pengiriman makanan untuk,israel,defense forces idf atau,israel
