text_id,text_clean,topic,label
1-1,wajah jurnalis dibalut perban saat melaporkan kondisi di gaza 2023,UNKNOWN,0
1-10,elektabilitas paslon 02 sebentar lagi terjun bebas gara2 gemoy joget susu gratis makan gratis politik dinasti cacat hukum ijazah dan tidak hadir,Disabilitas,0
1-100,gini aja deh usul aja nih gimana kalo misalnya gak usah ada debat aja kalo ga boleh dikritik diubah jadi lomba joget siapa yang paling gendut sempoyongan menarik gak atur lah kalian kan penguasa,Disabilitas,1
1-1000,relawan tionghoa kalbar yg di jakarta mendeklarasikan dukungan kepada ganjar pranowo mario dandy bu d megumi putri ariani mamat cilacap mahkamah konstitusi,Tionghoa,0
1-1001,kristen hindu islam dapat perlakuan istimewa dari pak anies ncep ketar ketir,Kristen,0
1-1002,tweis yahudi bleping muslim nujins hindu anzegom jepang,Jewish,0
1-1003,paus fransiskus memulai kunjungan sederhana ke umat katolik di mongolia yang beragama buddha,Kristen,0
1-1004,masyarakat kristen hindu budha dan etnis tionghoa di jatim berharap prabowo memenangkan pilpres 2024 dekade08,"Kristen, Tionghoa",0
1-1005,cina mengirimkan satelit penginderaan jauh baru ke orbit yang direncanakan,Tionghoa,0
1-1006,ganjar mahfud adl wajah toleransi di indonesia 57 7 pemilih dari agama kristen hindu budha katolik dan kog hu chu menyatakan dukungannya utk ganjar pranowo apalagi ganjar sukses membawa jateng jadi daerah toleran 5 dari 10 kota toleran ada di jateng,Kristen,0
1-1007,pendeta hindu india ini ingin ke israel untuk memerangi hamas idenya kok familiar,Jewish,0
1-1008,skb 2 menteri menjerat warga indonesia yg beragama kristen buddha hindu kepercayaan sunda wiwitan kaharingan marapu aluk to dolo dll yg masih banyak sekali,Kristen,0
1-1009,bisa bisanya aing masuk ke ruangan bos ngucapin assalamualaikum trus dijawab salamnyaa wkwk dia nonis china hindu kristen udahannya kita ketawa gegara salam wkwkwk,"Kristen, Tionghoa",0
1-101,apakah kita harus di pimpin oleh orang yg wakilnya cacat hukum cacat moral dan presidenya yg cacat,Disabilitas,1
1-1010,when my dad said pidato bung karno salah kalau jadi hindu jangan jadi orang india kalau jadi orang islam jangan jadi orang arab kalau kristen jangan jadi orang yahudi tetaplah jadi orang nusantara dengan adat budaya nusantara yang kaya raya ini orang kristen bukan yahudi,"Kristen, Jewish",0
1-1011,orano tionghoa yang gak nonton masterchef indonesia owe diem aja daritadi dalam sejarah tionghoa adalah salah satu etnis di dunia yang paling heterogen ada orang hokkien hakka tiociu kanton hinghua dan lain sebagainya ada yang mendukung kuomintang ada yang mendukung gongchangdang dan ada yang tradisional banget juga ada yang modern banget ada yang kristen buddha tao konghucu ateis pun ada termasuk ada yang menonton masterchef dan ada juga yang tidak tahu masterchef itu apa sebenarnya termasuk saya saya gak ngikut,"Kristen, Tionghoa",0
1-1012,כוד wr hz pm srae netanyahu perintahkan pemimpin arab untuk diam jika negaranya ingin aman inilahcom memasuki hari ke 38 agresi israel ke palestina tampaknya pm israel benyamin netanyahu tak berniat untuk gencatan senjata ia pun menolak seruan dari internasional untuk gencatan senjata di gaza setelah mengadakan pertemuan di riyadh arab saudi para pemimpin arab dan negara islam dunia sepakat untuk menyerukan israel melakukan gencatan senjata merespon hal itu netanyahu mengancam para pemimpin negara arab untuk diam dan tidak ikut campur dia mengatakan pasukan israel akan terus melanjutkan pertempuran di gaza saya katakan kepada pemimpin arab jika anda ingin melindungi kepentingan anda maka anda harus melakukan satu hal diam tegas netanyahu dalam konferensi pers bersama menhan israel yoav gallant dan pemimpin oposisi israe benny gantz dikutip hindustan times senin 13 11 2023 selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di appstore dan google play store,Jewish,0
1-1013,cnbc indonesia mcdonald s 5 cabang mcdonald s dunia yang bantah sokong tentara israel sejumlah cabang restoran cepat saji mcdonald s di beberapa negara memberikan klarifikasi terkait kiriman makanan dan dukungan terhadap israel melansir dari hindustan times mcdonald s cabang lebanon oman uni emirat arab uae turkiye dan kuwait menegaskan bahwa pihaknya tidak terlibat dalam pengiriman makanan untuk israel defense forces idf atau pasukan pertahanan israel mcdonald s lebanon menegaskan bahwa pemegang waralaba franchise di negara dan wilayah lain tidak mewakili pandangan atau posisi mcdonald s lebanon dengan cara apa pun tulis mcdonald s lebanon dalam pernyataannya dikutip rabu 18 10 2023 mcdonald s lebanon tidak terlibat apa pun dalam tindakan yang diambil di pasar lain di luar lebanon kami berkomitmen untuk bangsa kita dan rakyatnya dengan penuh rasa hormat dan solidaritas lanjut pernyataan tersebut sementara itu mcdonald s cabang oman uae turkiye dan kuwait menegaskan bahwa pihaknya tidak ikut campur dalam pemberian makanan kepada idf dan berada di pihak dukungan kepada palestina melalui pernyataan resmi mcdonald s oman menuturkan bahwa pihaknya telah menyumbangkan us 100 ribu atau sekitar rp1 57 miliar asumsi kurs rp15 742 us sebagai bantuan kepada masyarakat gaza palestina,Jewish,0
1-1014,video wanita muslim memaksa wanita hindu untuk memakai burqa di bus umum india,UNKNOWN,1
1-1015,pesan berantai rencana busuk pembunuhan massal team dokter china diselundupkan di pelabuhan,Tionghoa,1
1-1016,video tentara cina komunis tiongkok masuk indonesia,Tionghoa,1
1-1017,pdip usul ke pemerintah agar tutup pesantren di seluruh indonesia,UNKNOWN,1
1-1018,wasit hentikan pertandingan karena kasihan dengan timnas china taipei,Tionghoa,0
1-1019,di morowali sejumlah tka china menghakimi penduduk pribumi,Tionghoa,1
1-102,pembelokan sejarah secara sistimatis dilakukan imigran yaman cara ingin melumpuhkan suatu bangsa hancurkan sejarahnya biar generasi mendatang buta akan sejarah,"Rohingya, Disabilitas",0
1-1020,jokowi bebaskan pajak selama 120 tahun untuk wna yang tinggal di ikn,UNKNOWN,1
1-1021,gambar ganjar pranowo bersalaman dengan presiden tiongkok,UNKNOWN,1
1-1022,video adanya beras palsu asal china beredar di indonesia,Tionghoa,1
1-1023,para pemuda tiongkok rrc akan membanjiri posisi asn di indonesia,UNKNOWN,1
1-1024,prabowo bersama tni turun tangan bela rakyat rempang dan usir investor cina,Tionghoa,1
1-1025,dalam foto ini pemuda china jadi pns di indonesia,Tionghoa,1
1-1026,tank dan pasukan bersenjata dalam video ini situasi pulau rempang siap tempur,UNKNOWN,1
1-1027,nama nama negara yang pertamai kali mengakui kemerdekaan bangsa i ko negara china gk ada ya yang slalu mengaku ngaku atas menamakan jual pancasila dan slalu di korupsinya dangan dikuasa 9 naga dan para titisannya pki oligarki sampai saat ini,Tionghoa,1
1-1028,maaf yaa druunn presiden saya bukan keturunan china atau keturunan ngarab ganjar pranowo,Tionghoa,1
1-1029,selalu dorong toleransi dan kerukunan ganjar dihadiahi songkok dari muslim tionghoa surabaya baca selengkapnya,Tionghoa,0
1-103,cinta buta tidak memberikan anak nilai2 kebenaran ia hanya mengupayakan tahta dan kekayaan,Disabilitas,0
1-1030,anies tunaikan ibadah haji oleh h agus m z yang perlu kita garis bawahi dari pemberian panggung adalah makna atau sinyal positif yaitu ksa secara dini seperti mengumumkan kepada dunia truncated,UNKNOWN,0
1-1031,biar kadrun sadar kalau yg anti islam itu bukan orang yg bermata sipit tapi orang yg identik dengan mata biru dan bule negara isalm yg sudah hancur oleh sekutu amerika syiriah irak libya palestina afganistan lebanon semua hancur bukan karena china tapi eropa,Tionghoa,1
1-1032,fahmi f muslim dan jaman keemasan islam berikut ini adalah artikel yang mungkin pernah anda jumpai suatu artikel yang membantah klaim jaman keemasan islam di bidang ilmu pengetahuan memang tidak dibahas secara detil ini juga yang terjadi dengan abbassid apa bakat dan pencapaian dari rumy ibn arabi ibnu sina dan pemikir2 lain yang terlahir sebagai muslim yang ada hubungannya dengan islam apa quran mengajarkan aljabar kimia biologi atau astronomi muhammad saja salah dalam pembagian truncated,UNKNOWN,1
1-1033,china itu pinter menciptakan yg serba palsu bikin matahari palsu bikin mobil palsu mukidi berguru sama cina bikin ijazah palsu,Tionghoa,1
1-1034,presiden soeharto bagi bagi tanah untuk rakyat jokowi mengusir rakyat demi ngutang ke cina,Tionghoa,1
1-1035,anies baswedan bersama komunitas masyarakat indonesia tionghoa,Tionghoa,0
1-1036,ncep gak pernah posting kerja nya jokowi selama 2 periode krn proyek cina semua,Tionghoa,1
1-1037,relawan tionghoa kalbar all out dukung ganjar di pilpres 2024,Tionghoa,0
1-1038,klu bukan karena sarat korupsi dan suap suapan rezim jokowi dengan cina mana mungkin terjadi,Tionghoa,1
1-1039,teriak china di lihat hp nya produk china,Tionghoa,1
1-104,buta mata buta hati refleksi politik kelabuhi jaman datang busl perubahan dan perbaikan meski terlanjur hadir berharkat musang pandai berlidah hianati mentor kelabuhi guru tahta dan uang buat melena tiada etika selimut berbulu domba menghangatkan jiwa jaket berkulit musang menggugah cinta muka buta etika membelai masa lembut penuh makna sorgawi kicau liar merajut relung bayang bayang mimpi membias rasa diktum hianat menjadi nyata kicau kicau perbaikan menghias hari wajah penuh pesona fatwa membimbing dari alsm kubur hujah menggelinding dari singgasana turun gunung rasa memuak cahaya berikan penerang kalbu penenang jiwa lidah semakin hampa tiada sentuhan indah jiwa terdoktrin indah anti tesa perbaikan namun hati sepah rasa tiada bersemi hlang harum mewangi kepak burung kasturi menyebar menyelimuti langit seiring doa doa tersakiti segera langit melumat rasa berganti tiada simpatik serasa masa terkelabuhi intrik lebih baik minta maaf dari pada minta izin jet politik terbang bersama kepak burung kasturi melukis langit jingga 28 september 2023,Disabilitas,0
1-1040,kadrun katanya anti china makan dikasih sama orang china,Tionghoa,1
1-1041,perang horizontal di depan mata waspada warga cina sudah berani menguasai jalanan dgn mobil ber nopol negara cina jika kamu tdk membela orang lain ketika hak mereka diinjak injak siapa yg akan membelamu ketika hakmu diinjak injak lebih baik diasingkan daripada menyerah pada utk,Tionghoa,1
1-1042,benci cina tapi suka barang dari cina munafik,Tionghoa,1
1-1043,presiden amerika joe biden hormat kepada jokowi presiden cina rrt xi jinping hormat kepada jokowi presiden rusia vladimir putin hormat kepada jokowi,Tionghoa,1
1-1044,assalamualaikum masih ingat dulu ada gubernur cina menggusur rakyat dki dgn kejam lalu datanglah gubernur turunan yaman membangun kembali rumah mereka,Tionghoa,1
1-1045,dukung ganjar etnis tionghoa singgung pemimpin pemersatu umat,Tionghoa,1
1-1046,arab ikut berjuang lawan penjajah pki dan cina berkhianat,Tionghoa,1
1-1047,ganjar tak ingin bergantung pada china,Tionghoa,0
1-1048,bong lu bela kang ngibul matimatian ternyata otak lu aja gak diakui dia lebih percaya otak cina,Tionghoa,1
1-1049,kawal pemilu dari kecurangan pemilu 2019 terdpt ribuan wna cina tk bisa berbahas indonesi tpi memilki ktp indonesi masih ingat dg berbondong wna cina masuk ke indo dg mudah jelang pilpres 2019,Tionghoa,1
1-105,pesan saya yang benci anies baswedan awas jangan sampai kamu gila status mu digrup ini membuat kami tambah sehat makin cinta amin,Disabilitas,0
1-1050,5 3 ribu ton nikel indonesia dirampok cina jokowi cuma kaget bg,Tionghoa,1
1-1051,satu ini memiting rakyatnya satu lagi ingin membuldoser rakyatnya inilah rezi biadab yang disanjung 80 rakyatnya mantap petugas cina,Tionghoa,1
1-1052,10 thn sdh hutang ke cina pabrik dari cina pekerja dari cina teknologi dari cina ada yg bilang katanya ini pribumi mau di lanjut apa perubahan,Tionghoa,1
1-1053,dari jaman nenek moyang kita dulu juga sudah ada pepatah nya carilah ilmu setinggi langit meskipun sampai ke negeri china sekalipun makanya china sangat maju sdm dan ilmu pengetahuan serta teknologinya,Tionghoa,0
1-1054,balada 32 tahun negeriku menurut petunjuk bpk presiden e e e e kita harus kencengkan ikat pinggang kemudian e e e kita tinggal landas dan e e e kita mengolah ragakan masyarakat dan memasyarakatkan olah raga kemudian e e e e export non migas kita harus mengacuh pada pakto sebagai embrio dari pakno dan pakdes dan ujung²nya 1 us rp 17 500 gadis² tionghoa lari pake daster ke bandara sukarno hatta yg lain diperkosa toko² dijarah mahasiswa ada yg raib entah ke sekolahan katolik yg dipimpin mantan pacarku diancam mau dibakar yang begini masih sering terngiang di telingaku sampai saat ini aku sdh berusaha melupakannya tapi kalau melihat jemuran orang warna kuning ingatan itu selalu apalagi di saat² menjelang pemilu seperti sekarang semoga pa ganjar mahfud terpilih menjadi presiden 2024 nanti dan membuat nkri disegani dan dihormati sejuk dan damai,"Kristen, Tionghoa",1
1-1055,teman sobat gaspol gp tulisan ini untuk saling sharing semoga ada gunanya pemilu 2024 ini merupakan pemilu yang sangat mendebarkan dan sangat mencekam ini disebabkan karena keterlibatan amerika lewat cia full 100 melalui jaringan lsm² dan pengusaha regional sebarkan ke seluruh penjuru demi anak cucu kita kelak pilihlah ganjar pranowo,UNKNOWN,0
1-1056,mui haramkan produk israel namun dia sendiri tanpa sadar telah menggunakan dan menikmati produk israel keturunan yahudi itu sendiri beberapa nama produk israel keturunan yahudi 1 google 2 ini semua adalah produk buatan israel buatan amerika sekutunya dan buatan negara negara lain keturunan yahudi seperti rusia inggris prancis kanada argentina dan beberapa negara lain yang termasuk sekutnya juga produk produk tersebut dibuat dan diproduksi orang negara china lalu kenapa anda memakainya dan kenapa anda menggunakannya kemudian jika mui menganggap semua produk israel haram sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu namun jika ini hanya sekedar alasan atau tindakan bodoh saja melarang atau mengharamkan semua produk israel keturunan yahudi dan produk produk negara lain yang termasuk sekutunya lalu dalam tanda kutip anda masih menggunakan sebagian juga berarti anda munafik tidak jujur mengakuinya,"Tionghoa, Jewish",1
1-1057,3 alasan pak bokep tka tionghoa komunis anti islam ancaman pki bangkit,Tionghoa,1
1-1058,ini buat para kadrun yg sering nuduh pemerinta pki di sini sedikit gw jelasin syaiful sahab jenderal jenderal loyalis soekarno pun yang disebut sebagai pahlawan revolusi dan juga jutaan rakyat indonesia adalah korban pembantaian soeharto dengan dibantu intelejen barat satu satunya jenderal lulusan setara sd yang mudah dimancaatkan mafia barat yuk mikiiiir tuan mereka sedang berusaha untuk menihilkan kebijakan kebijakan yang telah diproses pemerintah indonesia isu jokowi pki lah isu kebangkitan komunis lah isu anti cina lah dan lain truncated,Tionghoa,1
1-1059,kasus rempang kasus wadas ketimpangan gaji tka cina dengan tenaga tempatan dimorowali hilangnya pupuk subsidi mahalnya bbm nepotisme kekuasaan hutang negara yg makin menumpuk pajak yg tinggi serta obyek pajak yg menyasar sembako dibarengi harga yg semakin mahal kondisi keadilan hukum yg tdk baik baik aja dll semua itu akibat kebijakan direzim ini maka kondisi seperti sangat diperlukan presiden perubahan dan itu hanya dimiliki bapak anies baswedan maka itu ayo pilih presiden perubahan,Tionghoa,1
1-106,gp mmd capres brilyan cerdas legal formal dibanding capres lain idiot illegal sbg pembodohan anak cucu nanti dlm lembaran glap demokrasi,Disabilitas,1
1-1060,mohon dengan sangat artikel ini di share ke semua rakyat indonesia copy paste ke semua group medsos selanjutnya share terus menerus setiap hari hingga viral ke semua rakyat indonesia hususnya orang2 yang tidak tau politik dan tidak peduli kondisi bangsa dan agamanya tahapan skenario cina caplok indonesia tanpa perang bukan hoax bisa di adu dengan data inteligent tahap 1 jkw tunjuk bos sinarmas sebagai wakil kepala ikn dan memerintahkan pengembang cina seperti agung sedayu podomoro ciputra lippo dll untuk membangun pemukiman cina di ikn bangun sadar dan bangkitlah wahai anak bangsa ayo copas dan share ke semua group2 medsos demi keselamatan negara bangsa agama dan anak cucu generasi kita semua akan gagal terlaksana jika anies presiden ri,Tionghoa,1
1-1061,waspada beras dari china komonis,Tionghoa,1
1-1062,satu lagi hoax islam lahirnya para ilmuwan persia di abad pertengahan adalah berkat jasa islam satu lagi hoax islam lahirnya para ilmuwan persia di abad pertengahan adalah berkat jasa islam perlu anda ketahui ibnu sina itu bukanlah beragama islam dia asalnya bangsa persia yang beragama zoroaster dan dia dipaksa masuk islam agar tidak dibunuh oleh pasukan islam yang menghancurkan kerajaan persia yang beragama zoroaster itu ibnu sina adalah nama yang diberikan oleh penjajah arab islam nama beliau sebenarnya dalah avicenna yang berasal dari nama kitab suci zoroaster aveda yang artinya api suci zoroaster adalah ajaran agama yang mensucikan dan menyembah tuhan yang esa dan api sebagai simbolnya orang ini bahkan tidak bisa penjumlahan yang sederhana apa yang islam lakukan utk seni untuk musik apa yang nabi katakan tentang penyair apa pandangan truncated,UNKNOWN,1
1-1063,kang ngibul menggelapkan nikel sampai 5 3 juta ton ke cina,Tionghoa,1
1-1064,kalau tdk mau jadi budak cina tdk ada cara lain amin hrs menang,Tionghoa,1
1-1065,pastikan anak saudara teman keluarga besar kita fokus pd perubahan berjuang utk perubahan atau rezim busuk ini akan melanjutkan mengusur kita rakyat pribumi pemilik negeri ini dari bumi pertiwi jgn biarkan rezim antek oligarki ini melanjutkan kekejaman dan kebiadabannya pd rytnya mengusir rytnya sendiri demi investor china,Tionghoa,1
1-1066,peringatan tegas untuk rezim jokowi dan seluruh rakyat nkri belum ada negara yg sebebas di indonesia terhadap china komunis nasehat dari letjend purn sutioso mantan kepala bin jangan dianggap enteng saja krn negeri kita memang sdh tdk baik2 saja jangan sampai kita menyesal dihari,Tionghoa,1
1-1067,buku ini adalah sebuah buku istimewa tentang analisis sejarah yang sangat menarik di dalamnya akan kita dapati sebab sebab kelemahan umat islam berbagai konflik yang terjadi perang salib pembebasan al quds invasi bangsa tartar hingga seputar ditutup dan dibukanya kembali pintu ijtihad resensi buku wajah dunia islam dari bani umayyah hingga imperialisme modern sejarah peradaban islam bukan hanya dari sirah rasulullah ﷺ peresensi nindira aryudhani s pi m si wallahualam bissawab mnews rgl,UNKNOWN,1
1-1068,2 periode bikin ibukota cina,Tionghoa,1
1-1069,orang tionghoa saja tahu siapa orang yang patut untuk memimpin ri th 2024,Tionghoa,0
1-107,pendukung gm jangan kompromi yang cacat hukum tidak legitimate,Disabilitas,0
1-1070,surat terbuka kepada anies baswedan saya copas dari postingan seorang tokoh yang dekat dengan presiden jokowi ibnu maksum opini anies baswedan ist smith alhadar direktur eksekutif institute for democracy education ide mas anies yang baik dalam gelisah saya menulis surat ini saat banyak orang sedang terlelap dalam bekap mimpi yang merisaukan belum juga dikumandangkan adzan ajakan berserah diri pada tuhan sebelum memulai kehidupan yg rumit seringkali berat kalau para gubernur sebelumnya iri hati pada mas anies itu lantaran mereka baru tahu bahwa kota bisa disulap dgn ide2 kreatif lebih daripada itu mas anies truncated,UNKNOWN,0
1-1071,kenapa komunis adalah mutlak sbg musuh pancasila karena faham komunisme bertolak belakang dgn sila pertama ketuhanan yang maha esa dikutip dari cnn indonesia partai komunis china pkc merupakan partai berkuasa negeri tirai bambu pkc secara resmi merupakan penganut ateis atau sebutan bagi orang yang tak percaya dengan keberadaan tuhan pkc juga mengimbau anggota partai dan keluarga mereka agar tak berpartisipasi secara publik dalam acara keagamaan pada 2017 media resmi pkc mewanti wanti anggota mereka untuk tak percaya pada agama menyebutkan sebagai anestesi spiritual sumber,Tionghoa,1
1-1072,dekat lahir batin mungkin anda tidak tahu kebiasaan xijinping saat jadi gubernur pujian adalah tidur di rumah warga yang miskin itu dia lakukan bukan sekali by ddb,UNKNOWN,0
1-1073,dekat lahir batin mungkin anda tidak tahu kebiasaan xijinping saat jadi gubernur fujian adalah tidur di rumah warga yang miskin itu dia lakukan bukan sekali biarlah saya jadi rakyat jelantah berusaha menghidup diri sendiri,UNKNOWN,0
1-1074,memilih pemimpin dengan penuh jiwa besar bukan atas kepentingan pribadi ataupun golongan sebagai anak bangsa indonesia yang sadar betul punya tanggung jawab terhadap nasib bangsa dan negara indonesia yang tercinta ini dari nurani lubuk hati yang paling dalam tidak pernah rela seluruh anak cucu rakyat bangsa dan negara indonesia dijajah dikuasai oleh asing aseng terkhusus seperti saat ini kita tengah dikuasai secara masif oleh oligarki pengusaha pengusaha cina dalam berbagai bidang yang disebut penjajahan gaya baru olehnya itu bangsa kita sangat membutuhkan seorang pemimpin yang bisa mencegah anak cucu kita semakin masif lagi dijajah oleh siapapun terutama cina yang tengah kita rasakan saat sekarang ini mari kita bersama sama menyatukan langkah hati kita mencari jalan keluaarnya untuk mencegah anak cucu kita semakin dikuasai oleh asing aseng cina kedepan menghadapi pemilihan presiden 2024 yang tidak lama lagi akan dilaksanakan untuk memilih seorang presiden pemimpin kita yang akan menggatikan jokowi dengan harapan dapat membawa perubahan nasib bangsa indonesia kedepan yang lebih baik lagi untuk itu kita harus lebih berhati hati cermat dan cerdas melihat memasang filter menyaring meneliti mencerna lebih kritis lagi untuk mengambil memilih seorang pemimpin ikuti telusuri dengan hati pikiran yang jernih bukan atas kepentingan pribadi ataupun golongan tetapi secara obyektif dengan penuh rasa tanggung jawab kepada sesama manusia terutama kepada allah swt tuhan pencipta alam semesta ini lihat telusuri semua rekam jejak anies baswedan di media cetak dan media elektronik disitulah salam perubahan untuk indonesia lebih baik lagi hasan tuankotta h u ketua umum himpunan semangat usaha masyarakat maluku hisumma,Tionghoa,1
1-1075,dulu waktu amerika dan eropa menguasai tambang emas dan minyak dii indonesia kadrun setelah semua telah direbut oleh jokowi kadrun jadi alat amerika untuk menyebar fitnah tentang china dan pki agar amerika bisa menguasai kembali,Tionghoa,1
1-1076,disini kadrun teriak antek china disana china jadi investor terbesar disana sdh bisa memisahkan bisnis dg agama disini masih banyak orang mabuk agama itulah bahaya latennya jadi kadrun,Tionghoa,1
1-1077,95 orang tionghoa tidak akan pilih wowo trauma orba,Tionghoa,1
1-1078,saya salut dengan pidato anda kami orang tionghoa indonesia sangat mendukung anda sebagai presiden masa depan anda harus kuat jika kamu ambisius aku akan mendukungmu,Tionghoa,0
1-1079,fakta sejarah ar bawesdan pendiri pai bergabung dlm sumpah pemuda dan berjuang utk kemerdekaan ri sedangkan pemuda china tdk mau bergabung sumpah pemuda tp justru bergabung dgn kompeni fakta sejarah,Tionghoa,1
1-108,kawan kawan ini ada amatan bagus baca sampai tamat budayakan membaca semoga anda mulai paham peta geo politik tahun 2014 truncated,UNKNOWN,0
1-1080,kata hadis juga carilah ilmu sampai ke kalo belajar ilmu itu sama orang cina bukan orang y oyang yaman cuma punya satu keahlian yaitu ngibul,Tionghoa,1
1-1081,1 turunan yaman 2 turunan china 3 turunan belanda kalau gue mending pilih turunan yaman dalam sejarah bersih bro,Tionghoa,1
1-1082,prof dr h as rusia china punya peluru kendali indonesia punya peluru tak terkendali yakni pak mahfud kata gus dur,Tionghoa,1
1-1083,apakah ada teman anda yang nyinyir terhadap china sambil teriakan bela palestina,Tionghoa,1
1-1084,anies untuk semua tanpa melihat golongan ras suku agama hal ini juga dirasakan oleh masyarakat tionghoa selama anies memimpin jakarta yulia maerata salah satu warga tionghoa mengatakan fakta anies bisa menciptakan kedamaian dan kerukunan umat beragama di jakarta telah terbukti dengan nyata,Tionghoa,0
1-1085,dukungan untuk ganjar semakin meluas relawan tionghoa kalbar ulama se tangerang anak muda dan influencer bersatu,Tionghoa,0
1-1086,bpk ibunya yaman yaman yaman yaman anis yaman anaknya keturunan yaman nu bpk nya china ibunya indonesia dgn orang indonesia berartri ada trah indonesia ganjar indonesia tulen silahkan anda pilih,Tionghoa,1
1-1087,coba bisikin ke anis biar china pada d usir dr nkri dan stop infor barang dari china biar masyarakat nkri merasa hidup nyaman tentram dan sejahtera,Tionghoa,1
