text_id,text_clean,topic,label
1-4545,rumah kiai di makassar diguyur hujan saat panas terik,UNKNOWN,0
4-3924,fakta indo ocha diperlukan anggaran rp 46 2 miliar untuk tangani jatah makan rohingya di aceh sebanyak 1 772 imigran ilegal rohingya telah mendarat di aceh sejak november 2023 meski telah membludak badan pbb urusan kemanusiaan ocha memprediksi gelombang kedatangan rohingya ke indonesia akan terus terjadi hingga maret 2024 ocha mengatakan bahwa saat ini banyak kapal rohingya yang berada di laut yang sedang menuju indonesia diproyeksikan akan ada 3 500 imigran rohingya yang tiba di aceh pada maret 2024 oleh karena itu ocha unhcr dan iom meminta dana sebesar rp 83 7 miliar untuk memenuhi kebutuhan mendesak dan darurat para imigran rohingya yang didamparkan di provinsi aceh ini dalam laporan itu ocha merinci biaya yang diperlukan di mana rp 42 6 miliarnya akan digunakan untuk makan imigran rohingya sebanyak rp 7 3 miliar untuk dukungan kesehatan mental rp 11 4 miliar untuk asuransi kesehatan rp 5 9 miliar untuk perlindungan hukum selain itu rp 12 2 miliar akan digunakan untuk renovasi tempat pengungsian air bersih dan sanitasi program pangan dunia pbb wfp juga mengatakan akan meningkatkan jatah makanan untuk setiap pengungsi rohingya mulai bulan januari 2024 kami sangat senang dengan perkembangan positif ini dan berharap para donor akan terus mendanai kami untuk menjamin kebutuhan dasar rohingya terpenuhi papar direktur wfp dom scalpelli dikutip dari tribunnews diketahui polisi telah menangkap tersangka warga negara bangladesh pelaku penyelundup rohingya ke indonesia pelaku mengantongi kartu unhcr saat diamankan polisi mengatakan sebagian besar etnis rohingya yang datang ke wilayah aceh besar juga memiliki kartu unhcr dan membayar uang sebesar rp14 juta rp16 juta untuk bisa berlayar ke indonesia kombes fahmi irwan ramli mengatakan para imigran yang datang ke aceh ini sebagian berwarga negara bangladesh bukan myanmar mereka mengaku datang ke indonesia untuk mencari pekerjaan dari jakarta,Rohingya,0
2-8052,nonton duo china kayak nonton permainan minions dulu,Tionghoa,0
4-3043,wajar ditolak di aceh lha wong kelakuannya kayak gini kok diduga pengungsi rohingya bakal menempati tanah tanah di arab saudi untuk bermukim secara permanen dilansir dari media setempat beberapa pengungsi rohingya menempati perbukitan di arab saudi diduga mereka hendak menetap selama beberapa waktu di sana tidak hanya itu mereka juga bersikap kurang sopan seperti membuang sampah sembarangan hingga kurang menjaga kebersihan wajar jika warga indonesia menolak kedatangan mereka untuk mengungsi termasuk di aceh yang menjadi kawasan utama sasaran pengungsi rohingya wajar ditolak di aceh lha wong kelakuannya kayak gini kok diduga pengungsi rohingya bakal menempati tanah tanah di arab saudi untuk bermukim secara permanen dilansir dari media setempat beberapa pengungsi rohingya menempati perbukitan di arab saudi diduga mereka hendak menetap selama beberapa waktu di sana tidak hanya itu mereka juga bersikap kurang sopan seperti membuang sampah sembarangan hingga kurang menjaga kebersihan wajar jika warga indonesia menolak kedatangan mereka untuk mengungsi termasuk di aceh yang menjadi kawasan utama sasaran pengungsi rohingya,Rohingya,0
2-337,china siap untuk bertarung gas terus ojo kasi kendor maseh gabung prediksi dalang lengkap dan gratis di wa 082126588661,Tionghoa,0
2-3371,kadrun harus tahu meskipun sdh tahu sebenarnya,UNKNOWN,0
4-4856,sebenarnya hal yg inginmereka serang itu kenapa cina gak bisa punya tanah di jogja,Tionghoa,0
2-11250,presiden turki erdogan israel lakukan kejahatan perang,Jewish,0
4-4397,dalam momen yang jujur dan terbuka han so hee baru baru ini berbagi alasan yang sangat pribadi di balik keputusannya untuk berhenti belajar di luar negeri dan malah memulai karir di dunia akting pada tanggal 13 januari park seo joon dan han so hee menjadi bintang tamu di saluran youtube pd nah yung suk dalam segmen tersebut han so hee mengungkapkan mengapa dia memilih akting daripada belajar di paris han so hee berkata untuk mendapatkan visa belajar di paris saya harus membuktikan bahwa saya memiliki 60 juta krw di rekening bank saya mereka mempunyai kebijakan seperti itu karena imigran ilegal bagaimanapun saya tidak memiliki uang sebanyak itu jadi aku mulai bekerja paruh waktu saat aku bekerja di pub selama 12 jam aku mendapat bayaran 1 8 juta krw tapi saat aku menjadi model selama 2 jam aku mendapat bayaran 3 juta krw jadi aku terus menjadi model untuk musinsa lalu aku ditawari iklan tv untuk biskuit ritz aku melihat 20 juta krw di akunku setelah syuting iklan tersebut saat itu aku tidak punya agensi jadi itu semua milikku setelah membayar pajak jadi aku seperti baik baik saja saya akan syuting tiga iklan dan kemudian pergi belajar di paris dia melanjutkan tetapi saya berakhir di tempat saya sekarang setelah melihat iklan tersebut ceo agensi kami menawari saya untuk debut sebagai aktris segmen yang relevan dimulai sekitar menit 26 28 pada video sc allkpop follow like dalam momen yang jujur dan terbuka han so hee baru baru ini berbagi alasan yang sangat pribadi di balik keputusannya untuk berhenti belajar di luar negeri dan malah memulai karir di dunia akting pada tanggal 13 januari park seo joon dan han so hee menjadi bintang tamu di saluran youtube pd nah yung suk dalam segmen tersebut han so hee mengungkapkan mengapa dia memilih akting daripada belajar di paris han so hee berkata untuk mendapatkan visa belajar di paris saya harus membuktikan bahwa saya memiliki 60 juta krw di rekening bank saya mereka mempunyai kebijakan seperti itu karena imigran ilegal bagaimanapun saya tidak memiliki uang sebanyak itu jadi aku mulai bekerja paruh waktu saat aku bekerja di pub selama 12 jam aku mendapat bayaran 1 8 juta krw tapi saat aku menjadi model selama 2 jam aku mendapat bayaran 3 juta krw jadi aku terus menjadi model untuk musinsa lalu aku ditawari iklan tv untuk biskuit ritz aku melihat 20 juta krw di akunku setelah syuting iklan tersebut saat itu aku tidak punya agensi jadi itu semua milikku setelah membayar pajak jadi aku seperti baik baik saja saya akan syuting tiga iklan dan kemudian pergi belajar di paris dia melanjutkan tetapi saya berakhir di tempat saya sekarang setelah melihat iklan tersebut ceo agensi kami menawari saya untuk debut sebagai aktris segmen yang relevan dimulai sekitar menit 26 28 pada video sc allkpop follow like,Rohingya,0
2-3421,pasangan mendukung penuh kemerdekaan palestina dari penjajahan israel mengatakan palestina mengakui kemerdekaan indonesia kini indonesia juga harus membela palestina mendesak membuka blokade jalur gaza untuk bantuan,Jewish,0
