marker,group_column,group,count,marker_count,marker_rate
has_question,label,0,24453,2372,0.09700241279188647
has_question,label,1,3995,567,0.14192740926157696
has_exclamation,label,0,24453,2498,0.10215515478673373
has_exclamation,label,1,3995,504,0.12615769712140176
has_question_exclamation,label,0,24453,70,0.00286263444158181
has_question_exclamation,label,1,3995,23,0.005757196495619525
has_exclamation_question,label,0,24453,24,0.000981474665685192
has_exclamation_question,label,1,3995,6,0.001501877346683354
has_url,label,0,24453,804,0.032879401300453935
has_url,label,1,3995,60,0.015018773466833541
has_mention,label,0,24453,2857,0.11683637999427474
has_mention,label,1,3995,455,0.11389236545682102
has_hashtag,label,0,24453,6822,0.2789841737210158
has_hashtag,label,1,3995,763,0.19098873591989987
has_emoji_or_symbol,label,0,24453,21114,0.8634523371365477
has_emoji_or_symbol,label,1,3995,3502,0.8765957446808511
has_repeated_character,label,0,24453,3711,0.15176052018157282
has_repeated_character,label,1,3995,764,0.19123904881101378
has_question,agreement_band,borderline,3858,518,0.13426645930533956
has_question,agreement_band,unanimous,24590,2421,0.09845465636437577
has_exclamation,agreement_band,borderline,3858,451,0.11689994815966823
has_exclamation,agreement_band,unanimous,24590,2551,0.10374135827572184
has_question_exclamation,agreement_band,borderline,3858,16,0.00414722654224987
has_question_exclamation,agreement_band,unanimous,24590,77,0.0031313542090280603
has_exclamation_question,agreement_band,borderline,3858,4,0.0010368066355624676
has_exclamation_question,agreement_band,unanimous,24590,26,0.0010573403822692151
has_url,agreement_band,borderline,3858,32,0.00829445308449974
has_url,agreement_band,unanimous,24590,832,0.033834892232614884
has_mention,agreement_band,borderline,3858,353,0.09149818558838776
has_mention,agreement_band,unanimous,24590,2959,0.1203334688897926
has_hashtag,agreement_band,borderline,3858,782,0.20269569725246242
has_hashtag,agreement_band,unanimous,24590,6803,0.2766571777145181
has_emoji_or_symbol,agreement_band,borderline,3858,3256,0.8439606013478487
has_emoji_or_symbol,agreement_band,unanimous,24590,21360,0.8686457909719398
has_repeated_character,agreement_band,borderline,3858,653,0.16925868325557283
has_repeated_character,agreement_band,unanimous,24590,3822,0.15542903619357462
has_question,topic,Ahmadiyah,144,31,0.2152777777777778
has_question,topic,Disabilitas,7088,762,0.10750564334085778
has_question,topic,Jewish,9288,852,0.0917312661498708
has_question,topic,Kristen,1594,231,0.14491844416562108
has_question,topic,LGBTQ+,919,125,0.13601741022850924
has_question,topic,Rohingya,1736,216,0.12442396313364056
has_question,topic,Syiah,709,145,0.20451339915373765
has_question,topic,Tionghoa,5575,526,0.09434977578475336
has_question,topic,UNKNOWN,2263,176,0.07777286787450287
has_exclamation,topic,Ahmadiyah,144,11,0.0763888888888889
has_exclamation,topic,Disabilitas,7088,626,0.08831828442437924
has_exclamation,topic,Jewish,9288,915,0.09851421188630491
has_exclamation,topic,Kristen,1594,192,0.12045169385194479
has_exclamation,topic,LGBTQ+,919,115,0.1251360174102285
has_exclamation,topic,Rohingya,1736,149,0.0858294930875576
has_exclamation,topic,Syiah,709,102,0.14386459802538787
has_exclamation,topic,Tionghoa,5575,856,0.15354260089686098
has_exclamation,topic,UNKNOWN,2263,159,0.07026071586389748
has_question_exclamation,topic,Ahmadiyah,144,0,0.0
has_question_exclamation,topic,Disabilitas,7088,49,0.006913092550790068
